SMILES,IC50_nM,pIC50
CCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,28.0,7.55
CCCCN1CCN(c2nc(C)c(C(=O)NCc3cccnc3)s2)C1=O,748.0,6.13
CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,5.5,8.26
CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,8.8,8.06
CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)cc1,3.0,8.52
CCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CO)cs2)cc1,3.2,8.49
CCCNC(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,390.0,6.41
CCCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,75.0,7.15
CCCc1ccccc1NCc1ccc(C(=O)Nc2nc(C)cs2)cc1,8.9,8.05
CCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,72.0,7.14
CCCn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,22.0,7.66
CCN(CC)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,4.0,8.4
CCN1CCC2(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC2)Oc2ccccc21,100.0,7.0
CCNC(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,110.0,6.96
CCNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,39.0,7.41
CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,0.04,10.4
CCOC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,31.0,7.51
CCOC(=O)c1cc(-c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)on1,45000.0,4.346787486224656
CCOC(=O)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,45000.0,4.346787486224656
CCOCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,41.0,7.39
CCOCCn1cc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,21.0,7.68
CCOc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)cc1F,45000.0,4.346787486224656
CCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,2.0,8.7
CCOc1cnn(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)c1,9.0,8.05
CCS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4F)cc3)[nH]c2c1,1308.0,5.88
CCc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,66.0,7.18
CCc1ccc(-c2nc3ccc(NCc4cccc(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,3.2,8.49
CCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,30.0,7.52
CCn1cc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)cn1,70.0,7.16
CN(C(=O)c1cc(-c2ccccc2)on1)c1cnn(Cc2cc(F)ccc2C(F)(F)F)c1,45000.0,4.346787486224656
CN(C)C(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,10000.0,5.0
CN(C)CC(c1ccccc1)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,45000.0,4.346787486224656
CN(C)CCC(c1ccccc1)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,45000.0,4.346787486224656
CN(C)CCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,9999.0,5.000043431619807
CN(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,25.0,7.6
CN(C)c1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,21.0,7.72
CN(C)c1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,14.0,7.85
CN(C)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,15.0,7.82
CN(Cc1cccc(F)c1)C(=O)c1cc(-c2ccccc2)on1,45000.0,4.346787486224656
CN1CCC(C2CCCN2C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)CC1,45000.0,4.346787486224656
CN1CCC2(CCN(C(=O)c3cc(-c4ccccc4)on3)C2)C1,45000.0,4.346787486224656
CN1CCC2(CCN(c3ccc(C(=O)NCC(O)c4ccccc4)nn3)CC2)Oc2ccccc21,280.0,6.55
CN1CCC2(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC2)Oc2ccccc21,700.0,6.16
CN1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)CC1,45000.0,4.346787486224656
CNC(=O)CCn1c(=O)c(-c2ccc(OC)cc2)nc2ccc(NCc3cccc(C(F)(F)F)c3)nc21,120.0,6.92
CNC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,12.0,7.92
CNC(=O)Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,15.0,7.82
CNC(=O)c1cc(C(=O)N2CCC(c3ccccc3)C2)no1,4190.0,5.38
CNC(=O)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,15000.0,4.82
CNC(=O)c1ccc(-c2cc(C(=O)N3CC(Cc4ccccc4)C3)no2)cc1,45000.0,4.346787486224656
CNC(=O)c1ccc(-c2cc(C(=O)N3CC(c4ccccc4)C3)no2)cc1,45000.0,4.346787486224656
CNC(=O)c1ccc(-c2cc(C(=O)N3CC=C(c4ccccc4)CC3)no2)cc1,45000.0,4.346787486224656
CNC(=O)c1ccc(-c2cc(C(=O)N3CCC(F)(c4ccccc4)CC3)no2)cc1,45000.0,4.346787486224656
CNC(=O)c1ccc(-c2cc(C(=O)N3CCC(c4ccccc4)CC3)no2)cc1,380.0,6.42
CNC(=O)c1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,6.0,8.22
CNC(=O)c1cccc(-c2cc(C(=O)N3CCC(c4ccccc4)CC3)no2)c1,45000.0,4.346787486224656
CNC(=O)c1ccccc1-c1cc(C(=O)N2CCC(c3ccccc3)CC2)no1,45000.0,4.346787486224656
CNC(=O)c1cccnc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,1000.0,6.0
CNC(=O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,4000.0,5.4
CNC(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,97.0,7.01
CNC(=O)c1nccnc1NCC(=O)N1CCC(C(=O)c2ccccc2)CC1,1000.0,6.0
CNC(=O)c1nccnc1NCC(=O)N1CCC(Nc2ccccc2C(F)(F)F)CC1,100.0,7.0
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2c(Cl)cccc2Cl)CC1,38.0,7.42
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2c(F)ccc(F)c2Cl)CC1,35.0,7.46
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2c(F)cccc2Cl)CC1,51.0,7.29
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2c(F)cccc2F)CC1,470.0,6.33
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2)CC1,6300.0,5.2
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Br)CC1,58.0,7.24
CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,51.0,7.29
CNc1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,35.0,7.46
COC(=O)Nc1cnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)s1,775.0,6.11
COC(=O)c1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,11900.0,4.955
COC(=O)c1ccccc1NCc1ccc(C(=O)Nc2nc(C)cs2)cc1,2700.0,5.57
COC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,39.0,7.41
COC1(c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)CCC1,340.0,6.47
COC1(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)CCC1,940.0,6.03
COC1(c2ccccc2)CCN(C(=O)c2cc(-c3ccccc3)on2)CC1,45000.0,4.346787486224656
COC1(c2ccccc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,110.0,6.96
COC1CC2(CCN(c3ccc(C(=O)NCC(O)c4ccccc4)nn3)CC2)Oc2ccccc21,60.0,7.22
COC1CCN(c2cc(C(=O)N3CC(c4ccccc4)C3)no2)CC1,45000.0,4.346787486224656
COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,0.6,9.22
COCc1cnn(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)c1,8.0,8.1
COCc1ncc(-c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)s1,5116.0,5.29
CO[C@@H]1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)C1,74.0,7.13
CO[C@H]1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)C1,65.0,7.19
COc1cc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)ccc1OCC(=O)O,4377.0,5.36
COc1cc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)ccc1OCCN1CCOCC1,1402.0,5.85
COc1cc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)ccc1OCCO,10.0,8.0
COc1cc(C2CCCN2C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)on1,30000.0,4.52
COc1cc(F)ccc1C1CCCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,45000.0,4.346787486224656
COc1cc2sc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)nc2cc1Br,3755.0,5.6850000000000005
COc1ccc(-c2cc(C(=O)N3CC(Cc4ccccc4)C3)no2)nn1,45000.0,4.346787486224656
COc1ccc(-c2cc(C(=O)N3CC(c4cccc(F)c4)C3)no2)cc1OC,3330.0,5.48
COc1ccc(-c2cc(C(=O)N3CC(c4ccccc4)C3)no2)nc1,264.0,6.58
COc1ccc(-c2cc(C(=O)N3CC(c4ccccc4)C3)no2)nn1,23000.0,4.64
COc1ccc(-c2cc(C(=O)N3CCCC3c3ccc(OC)cc3)no2)cc1,45000.0,4.346787486224656
COc1ccc(-c2cc(C(=O)N3CCCC3c3ccccc3F)no2)nc1,40240.0,4.39
COc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)cn1,27070.0,4.57
COc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)nc1,23070.0,4.64
